invoiceno,stokawal,stokakhir,namabarang,jenisbarang,kodebarang,kuantitasbarang,month,day,year,cluster
787127,180,165,Vinillex,0,12211A,15,12,1,2022,Laris
787127,140,120,"beton 2,5 ",1,10008B,20,12,2,2022,Laris
787127,183,171,Jabesmen Gelombang Kecil (150 x 105),2,15283A,12,12,2,2022,Laris
787128,50,47,Zehn Sekop Gagang Kayu,3,10015B,3,12,2,2022,Laris
787128,28,13,BJLS 30 Lebar 60cm,4,12947A,15,12,2,2022,Laris
787128,100,60,Duri,5,66653E,40,12,2,2022,Laris
787128,42,38,Stainless Lokal Kait,6,24628A,4,12,2,2022,Laris
787128,30,25,Gator Bak Mandi Plastik Persegi Ivory 56x56x56cm,7,11231A,5,12,2,2022,Laris
787128,47,44,Pas,8,23948A,3,12,2,2022,Laris
787128,700,600,Murando Natural 1m2 = 18 bh,9,56546D,100,12,2,2022,Laris
787128,27,22,Tembok,10,12343A,5,12,2,2022,Laris
787129,300,255,Beton 6mm,11,15372A,45,12,3,2022,Laris
787129,68,48,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),12,12222A,20,12,3,2022,Laris
787129,200,150,"PVC RUCIKA type AW 3/4""",13,10003B,50,12,3,2022,Laris
787130,500,455,Biasa dia. 19 s/d 16 ( 5 cm ),14,10032B,45,12,3,2022,Laris
787130,5,1,Biasa,15,11111A,4,12,4,2022,Laris
787130,78,67,sarung tangan kain ,16,17381A,11,12,7,2022,Laris
787130,100,94,Gembok Besar,17,12713A,6,12,7,2022,Laris
787130,129,124,Miniroller Ace Oldfields Panjang dan Pendek,18,13820A,5,12,7,2022,Sangat Laris
787130,500,450,Keramik  Natural Intan 14.5 / m2,19,32841A,50,12,8,2022,Sangat Laris
787130,17,12,gulung besi,20,11101A,5,12,8,2022,Sangat Laris
787130,252,238,Triplek 3mm,21,13041A,14,12,8,2022,Sangat Laris
787130,114,64,Tiga Roda,22,10006B,50,12,8,2022,Sangat Laris
787130,134,130,Dextone Epoxy Adhesives,23,13221A,4,12,8,2022,Sangat Laris
787130,17,14,Zehn Cangcul,24,12214A,3,12,8,2022,Sangat Laris
787130,31,16,Pintu Unilon Standard,25,19316A,15,12,8,2022,Sangat Laris
787130,4,0,Urug,26,18393A,4,12,8,2022,Sangat Laris
787131,69,49,"Readymix Beton K500, Tanpa Pompa",27,12311A,20,12,8,2022,Sangat Laris
787131,500,435,Flange,28,38201A,65,12,8,2022,Sangat Laris
